order,date,title,category,type,canon_phase,canon_sequence,featured,path,chapter,subchapter,storyline
101,2024-04-02,Magic in Astalor,astalor,Lore,lore,AST-L-001,true,magic-in-astalor,null,null,lore
102,2024-04-03,Nothingness and the Second Sun,astalor,Lore,lore,AST-L-002,false,the-making-of-astalor,null,null,lore
103,2024-04-04,The regions of Astalor,astalor,Lore,lore,AST-L-003,false,the-regions-of-astalor,null,null,lore
104,2024-04-05,The Contian Theocracy's Quest for Magical Supremacy,contian,Lore,lore,CON-L-001,false,arcane-echelons-the-contian-theocracy-quest-for-magical-supremacy,null,null,lore
105,2024-04-06,The Resilient Defense of the Lumeshirean Divine Empire,lumeshire,Lore,lore,LUM-L-001,false,shields-up-the-resilient-defense-of-the-lumeshirean-divine-empire,null,null,lore
106,2024-04-07,Forge and Fire: The Mountain Kingdom of Stonehold's Stand Against Chaos,stonehold,Lore,lore,STO-L-001,true,forge-and-fire-the-mountain-kingdom-of-stonehold-stand-against-chaos,null,null,lore
107,2024-04-08,The Zuraldarr,lumeshire,Lore,lore,LUM-L-002,true,the-zuraldarr,null,null,lore
108,2024-04-09,The Mysteries of the Wyrmreach Dominion,wyrmreach,Lore,lore,WYR-L-001,false,dark-depths-the-wymreach-dominion,null,null,lore
109,2024-04-10,Eternal Woods: The Kingdom of Elenoria's Dance with Nature,elenoria,Lore,lore,ELE-L-002,false,eternal-woods-the-kingdom-of-elenoria-dance-with-nature,null,null,lore
110,2024-04-11,Ice and Iron: The Warriors of the Empire of Frostgard,frostgard,Lore,lore,FRO-L-002,true,ice-and-Iron-the-unyielding-warriors-of-the-empire-of-frostgard,null,null,lore
111,2024-04-12,The Unruly Might of the Grukmar Tribes,grukmar,Lore,lore,GRU-L-002,true,clash-of-clans-the-unruly-might-of-the-grukmar-tribes,null,null,lore
112,2024-04-13,The Umbra'kor Dominion's Pact with Darkness,umbrakor,Lore,lore,UMB-L-002,false,shadows-reign-the-umbrakor-dominions-pact-with-darkness,null,null,lore
113,2024-04-14,The Call to Zuraldi,stonehold,Prologue,prologue,P-001,true,the-call-to-zuraldi,null,null,prologue
114,2024-04-15,A Journey Interrupted,stonehold,Prologue,prologue,P-002,false,a-journey-interrupted,null,null,prologue
115,2024-04-16,The Scream,lumeshire,Prologue,prologue,P-003,false,whispers-at-the-frontier-a-novice-guards-glimpse-into-grukmar,null,null,prologue
116,2024-04-17,Tavern Talk,lumeshire,Prologue,prologue,P-004,false,whispers-of-the-past-a-tenderfoot-patrols-brush-with-grukmars-legends,null,null,prologue
117,2024-04-18,Border Sign,lumeshire,Prologue,prologue,P-005,false,a-captains-counsel-the-quest-for-goblin-tracks-beyond-grukmars-veil,null,null,prologue
118,2024-04-19,No Tracks,lumeshire,Prologue,prologue,P-006,false,morning-tidings-goblin-threats-at-grukmars-edge,null,null,prologue
119,2024-04-20,The Screams in the Mist,grukmar,Prologue,prologue,P-007,false,the-screams-in-the-mist,null,null,prologue
120,2024-04-21,March of Despair,grukmar,Prologue,prologue,P-008,false,march-of-despair,null,null,prologue
126,2024-04-27,The Sacred Chamber,umbrakor,Main,main,D-001-001,true,the-sacred-chamber,1,1,drusniel
127,2024-04-28,Swords and Shadows,umbrakor,Main,main,D-002-001,false,swords-shadows,2,1,drusniel
128,2024-04-29,The Trial: The Test of Venemora,umbrakor,Main,main,D-003-001,false,the-trial-the-test-of-venemora,3,1,drusniel
129,2024-04-30,Secrets and Shadows,umbrakor,Main,main,D-004-001,false,secrets-and-shadows,4,1,drusniel
130,2024-05-01,The Trial: The Separation,umbrakor,Main,main,D-005-001,false,the-trial-the-separation,5,1,drusniel
131,2024-05-02,The Trial: Shadows in the Hall,umbrakor,Main,main,D-005-002,false,the-trial-shadows-in-the-hall,5,2,drusniel
132,2024-05-03,Voices in the Dark: The Empty Days,umbrakor,Main,main,D-006-001,false,voices-in-the-dark-the-empty-days,6,1,drusniel
133,2024-05-04,Voices in the Dark: The Distant Voice,umbrakor,Main,main,D-006-002,false,voices-in-the-dark-the-distant-voice,6,2,drusniel
134,2024-05-05,Voices in the Dark: The Seed of Doubt,umbrakor,Main,main,D-006-003,false,voices-in-the-dark-the-seed-of-doubt,6,3,drusniel
135,2024-05-06,Voices in the Dark: The Decision,umbrakor,Main,main,D-006-004,false,voices-in-the-dark-the-decision,6,4,drusniel
136,2024-05-07,The Surface Mage: The Tower,umbrakor,Main,main,D-007-001,false,the-surface-mage-the-tower,7,1,drusniel
137,2024-05-08,The Surface Mage: The Assessment,umbrakor,Main,main,D-007-002,false,the-surface-mage-the-assessment,7,2,drusniel
138,2024-05-09,The Surface Mage: The First Lesson,umbrakor,Main,main,D-007-003,false,the-surface-mage-the-first-lesson,7,3,drusniel
139,2024-05-10,The Surface Mage: The Wyrmreach Mention,umbrakor,Main,main,D-007-004,false,the-surface-mage-the-wyrmreach-mention,7,4,drusniel
140,2024-05-11,The Surface Mage: The Return,umbrakor,Main,main,D-007-005,false,the-surface-mage-the-return,7,5,drusniel
141,2024-05-12,Forbidden Knowledge: The Old Texts,umbrakor,Main,main,D-007-006,false,forbidden-knowledge-the-old-texts,7,6,drusniel
142,2024-05-13,Forbidden Knowledge: The Growing Power,umbrakor,Main,main,D-007-007,false,forbidden-knowledge-the-growing-power,7,7,drusniel
143,2024-05-14,Forbidden Knowledge: The Warning Signs,umbrakor,Main,main,D-007-008,false,forbidden-knowledge-the-warning-signs,7,8,drusniel
144,2024-05-15,Forbidden Knowledge: The Distant Land,umbrakor,Main,main,D-007-009,false,forbidden-knowledge-the-distant-land,7,9,drusniel
145,2024-05-16,Forbidden Knowledge: The Hesitation,umbrakor,Main,main,D-007-010,false,forbidden-knowledge-the-hesitation,7,10,drusniel
146,2024-05-17,The House Rivalry: The Gathering Storm,umbrakor,Main,main,D-009-001,false,the-house-rivalry-the-gathering-storm,9,1,drusniel
147,2024-05-18,The House Rivalry: The Fracture,umbrakor,Main,main,D-009-002,false,the-house-rivalry-the-fracture,9,2,drusniel
148,2024-05-19,The House Rivalry: The Secret Meeting,umbrakor,Main,main,D-009-003,false,the-house-rivalry-the-secret-meeting,9,3,drusniel
149,2024-05-20,The House Rivalry: The Night Before,umbrakor,Main,main,D-009-004,false,the-house-rivalry-the-night-before,9,4,drusniel
